name,price,rating,link,image_url,search_query,page
,,No rating,https://www.daraz.com.np/products/tune-760nc-wireless-on-ear-headphones-pure-bass-sound-bluetooth-40h-battery-life-quick-charge-built-in-mic-i294553896.html,https://img.drz.lazcdn.com/g/kf/S02f5196237c14b36819fb3ce8abe5865P.jpg_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/p9-wireless-bluetooth-headphones-latest-with-stereo-headset-i298448087.html,https://img.drz.lazcdn.com/g/kf/Se9ccf293536545a487ecd0b3dd820447t.jpg_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/ultima-bass-430-headphones-with-60-hrs-playback-time-ultima-supreme-sound-game-mode-40ms-40mm-drivers-bluetooth-headphone-voice-control-environmental-noise-cancellation-wireless-over-the-ear-headsets-clear-4-mic-for-calls-bt-54-i1544935913.html,https://img.drz.lazcdn.com/static/np/p/73eddf62d0f2bc8757f78e42f3ef60f0.png_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/fantech-mh82-echo-lightweight-black-gaming-headset-with-detachable-microphone-and-noise-cancelling-mic-for-pc-and-consoles-i110312400.html,https://img.drz.lazcdn.com/static/np/p/19900f337def2b6678cf39cff635c865.jpg_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/p9-wireless-stereo-bluetooth-headphones-i128160939.html,https://img.drz.lazcdn.com/g/kf/Sdbefc3bc1b684903b11c6147299d34d7d.jpg_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/fantech-hq53-new-lightweight-gaming-headset-with-rgb-lighting-comfort-fit-dual-35mm-trs-usb-a-connection-for-pc-gaming-i118894138.html,https://img.drz.lazcdn.com/static/np/p/6dd91cec21ae4781f19b53b6f75e0a27.jpg_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/p9-wireless-bluetooth-headphones-with-mixed-colour-with-stereo-headset-compatable-of-ear-i496582636.html,https://img.drz.lazcdn.com/g/kf/S882bc4530d6b43ffa0fe432d76bd6425c.jpg_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/p9-wireless-bluetooth-headphones-with-mix-color-latest-with-stereo-headset-i457828894.html,https://img.drz.lazcdn.com/static/np/p/3788ae1db9781ddddcc1442cfdf4a967.jpg_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/green-rhythm-headphone-40mm-driver-foldable-20-hours-playtime-tf-slot-high-definition-sound-quality-radio-switching-150-hours-of-standby-time-rgb-light-effect-53-bluetooth-version-6-months-warranty-black-soft-almond-silver-mist-i177131748.html,https://img.drz.lazcdn.com/static/np/p/5ea4080827af6df2b49ab39ef669f34e.png_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/p9-wireless-bluetooth-headset-i123763993.html,https://img.drz.lazcdn.com/static/np/p/9b6f9b488d0c031f95200b89713cf40d.jpg_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/solid-power-rgb-wireless-headphone-pro-12-i414589166.html,https://img.drz.lazcdn.com/static/np/p/524e35dfd62bd85de52f75aec76730e5.jpg_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/p9-wireless-bluetooth-headphones-with-mixed-colour-latest-with-stereo-headset-i496586389.html,https://img.drz.lazcdn.com/g/kf/Se94d94d8b46746eb87b727e3eeb8f76ct.jpg_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/fantech-hq56-black-tone-ii-wired-gaming-headset-i420482838.html,https://img.drz.lazcdn.com/static/np/p/4c428e3d8ad9eeba17b1e7be89f0dfef.jpg_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/p47-50-edr-wireless-bluetooth-foldable-headset-with-microphone-with-mic-high-bass-claer-sound-with-e-all-mobile-de-i298447324.html,https://img.drz.lazcdn.com/g/kf/Sccd92ae6d62745b2849352ec904180145.jpg_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/green-symphony-hybrid-anc-headphone-40-50db-45ms-low-latency-spatial-audio-technology-3d-experience-changeable-cap-foldable-jl54-bluetooth-version-100h-playtimes-80h-for-anc-5-mic-1000mah-40mm-driver-ultra-soft-cushions-ipx4-i498727465.html,https://img.drz.lazcdn.com/static/np/p/8a8ad9cdb9d65778eec0f57cabad9949.png_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/new-p9-wireless-bluetooth-headphones-with-mic-noise-cancelling-headsets-stereo-sound-earphones-sports-gaming-headphones-supports-tf-designed-to-stay-comfortable-fashion-design-latest-version-i182808655.html,https://img.drz.lazcdn.com/static/np/p/e20bf0edd14073f9cdabd8b4a88a7ced.jpg_200x200q80.avif,headphones,1
,,No rating,https://www.daraz.com.np/products/mwc-mhg29-gaming-headphone-35mm-audio-50mm-driver-colorful-lightingrgb-light-51-listening-to-the-so-for-accurate-positional-audio-with-microphone-black-i132791606.html,https://img.drz.lazcdn.com/static/np/p/cf547d3d5d40eccbfb1c46a377abc59a.jpg_200x200q80.avif,headphones,1
